Latitude,Longitude,Height (m),Number of Satellites
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-1.0,0
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
0.0,0.0,-17.0,5
